x,y,rule_value
-1.0,-1.0,0.000000000000
-1.0,-0.9,0.000000000000
-1.0,-0.8,0.000000000000
-1.0,-0.7,0.000000000000
-1.0,-0.6,0.000000000000
-1.0,-0.5,0.000000000000
-1.0,-0.4,0.000000000000
-1.0,-0.3,0.000000000000
-1.0,-0.2,0.000000000000
-1.0,-0.1,0.000000000000
-1.0,0.0,0.000000000000
-1.0,0.1,0.000000000000
-1.0,0.2,0.000000000000
-1.0,0.3,0.000000000000
-1.0,0.4,0.000000000000
-1.0,0.5,0.000000000000
-1.0,0.6,0.000000000000
-1.0,0.7,0.000000000000
-1.0,0.8,0.000000000000
-1.0,0.9,0.000000000000
-1.0,1.0,0.000000000000
-0.9,-1.0,-0.024471741852
-0.9,-0.9,-0.024471741852
-0.9,-0.8,-0.024471741852
-0.9,-0.7,-0.024471741852
-0.9,-0.6,-0.024471741852
-0.9,-0.5,-0.024471741852
-0.9,-0.4,-0.024471741852
-0.9,-0.3,-0.024471741852
-0.9,-0.2,-0.024471741852
-0.9,-0.1,-0.024471741852
-0.9,0.0,-0.024471741852
-0.9,0.1,-0.024471741852
-0.9,0.2,-0.024471741852
-0.9,0.3,-0.024471741852
-0.9,0.4,-0.024471741852
-0.9,0.5,-0.024471741852
-0.9,0.6,-0.024471741852
-0.9,0.7,-0.024471741852
-0.9,0.8,-0.024471741852
-0.9,0.9,-0.024471741852
-0.9,1.0,-0.024471741852
-0.8,-1.0,-0.095491502813
-0.8,-0.9,-0.095491502813
-0.8,-0.8,-0.095491502813
-0.8,-0.7,-0.095491502813
-0.8,-0.6,-0.095491502813
-0.8,-0.5,-0.095491502813
-0.8,-0.4,-0.095491502813
-0.8,-0.3,-0.095491502813
-0.8,-0.2,-0.095491502813
-0.8,-0.1,-0.095491502813
-0.8,0.0,-0.095491502813
-0.8,0.1,-0.095491502813
-0.8,0.2,-0.095491502813
-0.8,0.3,-0.095491502813
-0.8,0.4,-0.095491502813
-0.8,0.5,-0.095491502813
-0.8,0.6,-0.095491502813
-0.8,0.7,-0.095491502813
-0.8,0.8,-0.095491502813
-0.8,0.9,-0.095491502813
-0.8,1.0,-0.095491502813
-0.7,-1.0,-0.206107373854
-0.7,-0.9,-0.206107373854
-0.7,-0.8,-0.206107373854
-0.7,-0.7,-0.206107373854
-0.7,-0.6,-0.206107373854
-0.7,-0.5,-0.206107373854
-0.7,-0.4,-0.206107373854
-0.7,-0.3,-0.206107373854
-0.7,-0.2,-0.206107373854
-0.7,-0.1,-0.206107373854
-0.7,0.0,-0.206107373854
-0.7,0.1,-0.206107373854
-0.7,0.2,-0.206107373854
-0.7,0.3,-0.206107373854
-0.7,0.4,-0.206107373854
-0.7,0.5,-0.206107373854
-0.7,0.6,-0.206107373854
-0.7,0.7,-0.206107373854
-0.7,0.8,-0.206107373854
-0.7,0.9,-0.206107373854
-0.7,1.0,-0.206107373854
-0.6,-1.0,-0.345491502813
-0.6,-0.9,-0.345491502813
-0.6,-0.8,-0.345491502813
-0.6,-0.7,-0.345491502813
-0.6,-0.6,-0.345491502813
-0.6,-0.5,-0.345491502813
-0.6,-0.4,-0.345491502813
-0.6,-0.3,-0.345491502813
-0.6,-0.2,-0.345491502813
-0.6,-0.1,-0.345491502813
-0.6,0.0,-0.345491502813
-0.6,0.1,-0.345491502813
-0.6,0.2,-0.345491502813
-0.6,0.3,-0.345491502813
-0.6,0.4,-0.345491502813
-0.6,0.5,-0.345491502813
-0.6,0.6,-0.345491502813
-0.6,0.7,-0.345491502813
-0.6,0.8,-0.345491502813
-0.6,0.9,-0.345491502813
-0.6,1.0,-0.345491502813
-0.5,-1.0,-0.500000000000
-0.5,-0.9,-0.500000000000
-0.5,-0.8,-0.500000000000
-0.5,-0.7,-0.500000000000
-0.5,-0.6,-0.500000000000
-0.5,-0.5,-0.500000000000
-0.5,-0.4,-0.500000000000
-0.5,-0.3,-0.500000000000
-0.5,-0.2,-0.500000000000
-0.5,-0.1,-0.500000000000
-0.5,0.0,-0.500000000000
-0.5,0.1,-0.500000000000
-0.5,0.2,-0.500000000000
-0.5,0.3,-0.500000000000
-0.5,0.4,-0.500000000000
-0.5,0.5,-0.500000000000
-0.5,0.6,-0.500000000000
-0.5,0.7,-0.500000000000
-0.5,0.8,-0.500000000000
-0.5,0.9,-0.500000000000
-0.5,1.0,-0.500000000000
-0.4,-1.0,-0.654508497187
-0.4,-0.9,-0.654508497187
-0.4,-0.8,-0.654508497187
-0.4,-0.7,-0.654508497187
-0.4,-0.6,-0.654508497187
-0.4,-0.5,-0.654508497187
-0.4,-0.4,-0.654508497187
-0.4,-0.3,-0.654508497187
-0.4,-0.2,-0.654508497187
-0.4,-0.1,-0.654508497187
-0.4,0.0,-0.654508497187
-0.4,0.1,-0.654508497187
-0.4,0.2,-0.654508497187
-0.4,0.3,-0.654508497187
-0.4,0.4,-0.654508497187
-0.4,0.5,-0.654508497187
-0.4,0.6,-0.654508497187
-0.4,0.7,-0.654508497187
-0.4,0.8,-0.654508497187
-0.4,0.9,-0.654508497187
-0.4,1.0,-0.654508497187
-0.3,-1.0,-0.793892626146
-0.3,-0.9,-0.793892626146
-0.3,-0.8,-0.793892626146
-0.3,-0.7,-0.793892626146
-0.3,-0.6,-0.793892626146
-0.3,-0.5,-0.793892626146
-0.3,-0.4,-0.793892626146
-0.3,-0.3,-0.793892626146
-0.3,-0.2,-0.793892626146
-0.3,-0.1,-0.793892626146
-0.3,0.0,-0.793892626146
-0.3,0.1,-0.793892626146
-0.3,0.2,-0.793892626146
-0.3,0.3,-0.793892626146
-0.3,0.4,-0.793892626146
-0.3,0.5,-0.793892626146
-0.3,0.6,-0.793892626146
-0.3,0.7,-0.793892626146
-0.3,0.8,-0.793892626146
-0.3,0.9,-0.793892626146
-0.3,1.0,-0.793892626146
-0.2,-1.0,-0.904508497187
-0.2,-0.9,-0.904508497187
-0.2,-0.8,-0.904508497187
-0.2,-0.7,-0.904508497187
-0.2,-0.6,-0.904508497187
-0.2,-0.5,-0.904508497187
-0.2,-0.4,-0.904508497187
-0.2,-0.3,-0.904508497187
-0.2,-0.2,-0.904508497187
-0.2,-0.1,-0.904508497187
-0.2,0.0,-0.904508497187
-0.2,0.1,-0.904508497187
-0.2,0.2,-0.904508497187
-0.2,0.3,-0.904508497187
-0.2,0.4,-0.904508497187
-0.2,0.5,-0.904508497187
-0.2,0.6,-0.904508497187
-0.2,0.7,-0.904508497187
-0.2,0.8,-0.904508497187
-0.2,0.9,-0.904508497187
-0.2,1.0,-0.904508497187
-0.1,-1.0,-0.975528258148
-0.1,-0.9,-0.975528258148
-0.1,-0.8,-0.975528258148
-0.1,-0.7,-0.975528258148
-0.1,-0.6,-0.975528258148
-0.1,-0.5,-0.975528258148
-0.1,-0.4,-0.975528258148
-0.1,-0.3,-0.975528258148
-0.1,-0.2,-0.975528258148
-0.1,-0.1,-0.975528258148
-0.1,0.0,-0.975528258148
-0.1,0.1,-0.975528258148
-0.1,0.2,-0.975528258148
-0.1,0.3,-0.975528258148
-0.1,0.4,-0.975528258148
-0.1,0.5,-0.975528258148
